"","address_id","change_id","address_type","address_number","suburb_locality","town_city","full_address_number","full_road_name","full_address","road_section_id","gd2000_xcoord","gd2000_ycoord","suburb_locality_ascii","town_city_ascii","full_road_name_ascii","full_address_ascii","unit_value","address_number_suffix"
"77",2107842,2958080,"Road",44,"Christchurch Central","Christchurch","44C","Hereford Street","44C Hereford Street, Christchurch Central, Christchurch",33286,172.6315,-43.5327,"Christchurch Central","Christchurch","Hereford Street","44C Hereford Street, Christchurch Central, Christchurch",NA,"C"
"78",227552,209098,"Road",120,"Christchurch Central","Christchurch","120","Cashel Street","120 Cashel Street, Christchurch Central, Christchurch",43019,172.6354,-43.5332,"Christchurch Central","Christchurch","Cashel Street","120 Cashel Street, Christchurch Central, Christchurch",NA,NA
"79",220238,202996,"Road",84,"Christchurch Central","Christchurch","84","Oxford Terrace","84 Oxford Terrace, Christchurch Central, Christchurch",47269,172.6322,-43.5345,"Christchurch Central","Christchurch","Oxford Terrace","84 Oxford Terrace, Christchurch Central, Christchurch",NA,NA
"80",220206,202969,"Road",77,"Christchurch Central","Christchurch","77","Hereford Street","77 Hereford Street, Christchurch Central, Christchurch",29008,172.6341,-43.5319,"Christchurch Central","Christchurch","Hereford Street","77 Hereford Street, Christchurch Central, Christchurch",NA,NA
"81",220119,1979956,"Road",52,"Christchurch Central","Christchurch","52","Cashel Street","52 Cashel Street, Christchurch Central, Christchurch",386255,172.6312,-43.5334,"Christchurch Central","Christchurch","Cashel Street","52 Cashel Street, Christchurch Central, Christchurch",NA,NA
"82",2107841,2958079,"Road",44,"Christchurch Central","Christchurch","44B","Hereford Street","44B Hereford Street, Christchurch Central, Christchurch",33286,172.6315,-43.5324,"Christchurch Central","Christchurch","Hereford Street","44B Hereford Street, Christchurch Central, Christchurch",NA,"B"
"83",227565,1540949,"Road",124,"Christchurch Central","Christchurch","124","Cashel Street","124 Cashel Street, Christchurch Central, Christchurch",43019,172.6354,-43.5332,"Christchurch Central","Christchurch","Cashel Street","124 Cashel Street, Christchurch Central, Christchurch",NA,NA
"84",220229,202988,"Road",82,"Christchurch Central","Christchurch","82","Oxford Terrace","82 Oxford Terrace, Christchurch Central, Christchurch",47269,172.6321,-43.5346,"Christchurch Central","Christchurch","Oxford Terrace","82 Oxford Terrace, Christchurch Central, Christchurch",NA,NA
"85",220166,202935,"Road",65,"Christchurch Central","Christchurch","65","Cambridge Terrace","65 Cambridge Terrace, Christchurch Central, Christchurch",29258,172.6314,-43.5341,"Christchurch Central","Christchurch","Cambridge Terrace","65 Cambridge Terrace, Christchurch Central, Christchurch",NA,NA
"86",2134115,3971582,"Road",107,"Christchurch Central","Christchurch","107","Cambridge Terrace","107 Cambridge Terrace, Christchurch Central, Christchurch",41460,172.6325,-43.5318,"Christchurch Central","Christchurch","Cambridge Terrace","107 Cambridge Terrace, Christchurch Central, Christchurch",NA,NA
"87",1758940,1476312,"Road",92,"Christchurch Central","Christchurch","92","Hereford Street","92 Hereford Street, Christchurch Central, Christchurch",29008,172.6349,-43.5322,"Christchurch Central","Christchurch","Hereford Street","92 Hereford Street, Christchurch Central, Christchurch",NA,NA
"88",1755508,1474038,"Road",110,"Christchurch Central","Christchurch","110","Cambridge Terrace","110 Cambridge Terrace, Christchurch Central, Christchurch",41460,172.6331,-43.5317,"Christchurch Central","Christchurch","Cambridge Terrace","110 Cambridge Terrace, Christchurch Central, Christchurch",NA,NA
"89",220225,202986,"Road",80,"Christchurch Central","Christchurch","80","Oxford Terrace","80 Oxford Terrace, Christchurch Central, Christchurch",47269,172.632,-43.5346,"Christchurch Central","Christchurch","Oxford Terrace","80 Oxford Terrace, Christchurch Central, Christchurch",NA,NA
"90",1758937,1476311,"Road",79,"Christchurch Central","Christchurch","79","Hereford Street","79 Hereford Street, Christchurch Central, Christchurch",29008,172.6343,-43.5318,"Christchurch Central","Christchurch","Hereford Street","79 Hereford Street, Christchurch Central, Christchurch",NA,NA
"91",220212,4543720,"Road",78,"Christchurch Central","Christchurch","78","Oxford Terrace","78 Oxford Terrace, Christchurch Central, Christchurch",47269,172.632,-43.5347,"Christchurch Central","Christchurch","Oxford Terrace","78 Oxford Terrace, Christchurch Central, Christchurch",NA,NA
"92",227477,2862204,"Road",107,"Christchurch Central","Christchurch","1/107","Cashel Street","1/107 Cashel Street, Christchurch Central, Christchurch",39091,172.6355,-43.533,"Christchurch Central","Christchurch","Cashel Street","1/107 Cashel Street, Christchurch Central, Christchurch","1",NA
"93",1333167,4905502,"Road",243,"Christchurch Central","Christchurch","243","Durham Street South","243 Durham Street South, Christchurch Central, Christchurch",43231,172.6334,-43.535,"Christchurch Central","Christchurch","Durham Street South","243 Durham Street South, Christchurch Central, Christchurch",NA,NA
"94",220239,202997,"Road",85,"Christchurch Central","Christchurch","85","Hereford Street","85 Hereford Street, Christchurch Central, Christchurch",29008,172.6346,-43.5319,"Christchurch Central","Christchurch","Hereford Street","85 Hereford Street, Christchurch Central, Christchurch",NA,NA
"95",1758938,1818744,"Road",79,"Christchurch Central","Christchurch","1/79","Hereford Street","1/79 Hereford Street, Christchurch Central, Christchurch",29008,172.6343,-43.5318,"Christchurch Central","Christchurch","Hereford Street","1/79 Hereford Street, Christchurch Central, Christchurch","1",NA
"96",227569,3293918,"Road",126,"Christchurch Central","Christchurch","126","Cashel Street","126 Cashel Street, Christchurch Central, Christchurch",39091,172.6356,-43.5334,"Christchurch Central","Christchurch","Cashel Street","126 Cashel Street, Christchurch Central, Christchurch",NA,NA
"97",220153,202923,"Road",61,"Christchurch Central","Christchurch","61","Cambridge Terrace","61 Cambridge Terrace, Christchurch Central, Christchurch",29258,172.6312,-43.5341,"Christchurch Central","Christchurch","Cambridge Terrace","61 Cambridge Terrace, Christchurch Central, Christchurch",NA,NA
"98",227907,2862205,"Road",107,"Christchurch Central","Christchurch","2/107","Cashel Street","2/107 Cashel Street, Christchurch Central, Christchurch",39091,172.6356,-43.533,"Christchurch Central","Christchurch","Cashel Street","2/107 Cashel Street, Christchurch Central, Christchurch","2",NA
"99",220196,202962,"Road",74,"Christchurch Central","Christchurch","74","Oxford Terrace","74 Oxford Terrace, Christchurch Central, Christchurch",47269,172.6319,-43.5347,"Christchurch Central","Christchurch","Oxford Terrace","74 Oxford Terrace, Christchurch Central, Christchurch",NA,NA
"100",2038110,2938646,"Road",44,"Christchurch Central","Christchurch","44","Hereford Street","44 Hereford Street, Christchurch Central, Christchurch",33286,172.6311,-43.5326,"Christchurch Central","Christchurch","Hereford Street","44 Hereford Street, Christchurch Central, Christchurch",NA,NA
