id,company,created_at,developer,game,porting,publisher,supporting
69611,4602,1536624000,false,1983,true,false,false
8011,51,1383782400,true,133,false,true,false
42311,157,1480636800,false,299,false,true,false
8363,11,1386201600,true,98,false,false,false
5241,1,1372550400,false,74,false,true,false
38541,94,1471219200,true,18320,false,false,false
14,2,1298937600,true,6,false,false,false
266,68,1301270400,true,324,false,false,false
68,2,1300060800,true,78,false,false,false
8153,38,1384646400,true,837,false,false,false
872,323,1302652800,true,424,false,false,false
8254,702,1385251200,true,981,false,false,false
2473,70,1326326400,false,1035,false,true,false
2831,401,1345248000,true,1186,false,false,false
6060,754,1373328000,false,1062,false,true,false
58168,23,1510704000,false,18,true,true,false
7430,1,1381363200,false,97,false,true,false
43562,4034,1484265600,false,26758,false,true,false
63933,2921,1522713600,false,537,true,false,false
8109,38,1384560000,true,127,false,false,false
43563,2850,1484265600,false,7346,false,true,false
44021,928,1485820800,true,3022,false,true,false
42250,378,1480464000,false,18,true,false,false
63951,307,1522800000,false,733,true,false,false
63945,896,1522800000,false,113,false,false,true
18533,306,1414454400,true,3174,false,false,false
22397,1010,1425168000,false,7323,false,true,false
18539,139,1414454400,false,3265,false,true,false
873,141,1302652800,false,424,false,true,false
14502,620,1397088000,true,986,false,false,false
56147,50,1508803200,false,19470,false,true,false
42058,73,1480204800,false,116,true,true,false
17933,636,1408147200,true,960,false,false,false
52124,128,1499990400,false,289,false,true,false
52138,1010,1499990400,false,6803,false,true,false
19024,377,1414886400,true,866,false,false,false
18907,56,1414800000,false,232,false,true,false
18906,24,1414800000,false,232,false,true,false
3059,700,1348963200,false,1339,false,true,false
2137,4,1319155200,false,966,false,true,false
5240,2,1372550400,true,74,false,false,false
5260,290,1372550400,true,1048,false,false,false
16887,3010,1401321600,false,1879,false,true,false
62264,13634,1518566400,false,11790,false,true,false
2909,70,1345420800,false,1090,false,true,false
17773,3119,1406332800,false,478,false,true,false
57624,184,1510272000,true,7351,false,false,false
19377,26,1415232000,true,389,false,true,false
19025,1466,1414886400,false,866,false,true,false
7302,70,1381017600,false,1627,false,true,false
20452,753,1418515200,false,2262,false,true,false
20444,423,1418515200,false,826,false,true,false
4360,1,1370736000,false,296,false,true,false
55277,1418,1506902400,false,17000,false,false,true
